math_names,url,wiki_page
Isaac Newton,https://en.wikipedia.org/wiki/Isaac_Newton,Isaac_Newton
Archimedes,https://en.wikipedia.org/wiki/Archimedes,Archimedes
Carl F. Gauss,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss,Carl_Friedrich_Gauss
Leonhard Euler,https://en.wikipedia.org/wiki/Leonhard_Euler,Leonhard_Euler
Bernhard Riemann,https://en.wikipedia.org/wiki/Bernhard_Riemann,Bernhard_Riemann
Henri Poincar,https://en.wikipedia.org/wiki/Henri_Poincar%C3%A9,Henri_Poincar%C3%A9
Joseph-Louis Lagrange,https://en.wikipedia.org/wiki/Joseph-Louis_Lagrange,Joseph-Louis_Lagrange
Euclid  of Alexandria,https://en.wikipedia.org/wiki/Euclid,Euclid
David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert,David_Hilbert
Gottfried W. Leibniz,https://en.wikipedia.org/wiki/Gottfried_Wilhelm_Leibniz,Gottfried_Wilhelm_Leibniz
Alexandre Grothendieck,https://en.wikipedia.org/wiki/Alexander_Grothendieck,Alexander_Grothendieck
Pierre de Fermat,https://en.wikipedia.org/wiki/Pierre_de_Fermat,Pierre_de_Fermat
Evariste Galois,https://en.wikipedia.org/wiki/%C3%89variste_Galois,%C3%89variste_Galois
John von Neumann,https://en.wikipedia.org/wiki/John_von_Neumann,John_von_Neumann
Rene Descartes,https://en.wikipedia.org/wiki/Ren%C3%A9_Descartes,Ren%C3%A9_Descartes
Karl W. T. Weierstrass,https://en.wikipedia.org/wiki/Karl_Weierstrass,Karl_Weierstrass
Srinivasa Ramanujan,https://en.wikipedia.org/wiki/Srinivasa_Ramanujan,Srinivasa_Ramanujan
Hermann K. H. Weyl,https://en.wikipedia.org/wiki/Hermann_Weyl,Hermann_Weyl
Peter G. L. Dirichlet,https://en.wikipedia.org/wiki/Peter_Gustav_Lejeune_Dirichlet,Peter_Gustav_Lejeune_Dirichlet
Niels Abel,https://en.wikipedia.org/wiki/Niels_Henrik_Abel,Niels_Henrik_Abel
Georg Cantor,https://en.wikipedia.org/wiki/Georg_Cantor,Georg_Cantor
Carl G. J. Jacobi,https://en.wikipedia.org/wiki/Carl_Gustav_Jacob_Jacobi,Carl_Gustav_Jacob_Jacobi
