math_names,url,wiki_page,tot_wiki_views,website_ranking
Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein,Albert_Einstein,27290056,71
Alan M. Turing,https://en.wikipedia.org/wiki/Alan_Turing,Alan_Turing,14150493,80
Isaac Newton,https://en.wikipedia.org/wiki/Isaac_Newton,Isaac_Newton,13304705,1
Srinivasa Ramanujan,https://en.wikipedia.org/wiki/Srinivasa_Ramanujan,Srinivasa_Ramanujan,11314886,17
Aristotle,https://en.wikipedia.org/wiki/Aristotle,Aristotle,8820040,74
Galileo Galilei,https://en.wikipedia.org/wiki/Galileo_Galilei,Galileo_Galilei,8477873,72
Rene Descartes,https://en.wikipedia.org/wiki/Ren%C3%A9_Descartes,Ren%C3%A9_Descartes,4599009,15
Pythagoras  of Samos,https://en.wikipedia.org/wiki/Pythagoras,Pythagoras,4285209,27
Aryabhata,https://en.wikipedia.org/wiki/Aryabhata,Aryabhata,4262273,28
Archimedes,https://en.wikipedia.org/wiki/Archimedes,Archimedes,4003710,2
John von Neumann,https://en.wikipedia.org/wiki/John_von_Neumann,John_von_Neumann,3349818,14
Euclid  of Alexandria,https://en.wikipedia.org/wiki/Euclid,Euclid,2768417,8
Carl F. Gauss,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss,Carl_Friedrich_Gauss,2741685,3
Gottfried W. Leibniz,https://en.wikipedia.org/wiki/Gottfried_Wilhelm_Leibniz,Gottfried_Wilhelm_Leibniz,2557726,10
Johannes Kepler,https://en.wikipedia.org/wiki/Johannes_Kepler,Johannes_Kepler,2398621,55
Blaise Pascal,https://en.wikipedia.org/wiki/Blaise_Pascal,Blaise_Pascal,2394657,41
Leonhard Euler,https://en.wikipedia.org/wiki/Leonhard_Euler,Leonhard_Euler,2284100,4
James C. Maxwell,https://en.wikipedia.org/wiki/James_Clerk_Maxwell,James_Clerk_Maxwell,2077224,73
Kurt Godel,https://en.wikipedia.org/wiki/Kurt_G%C3%B6del,Kurt_G%C3%B6del,1894095,38
Leonardo Fibonacci,https://en.wikipedia.org/wiki/Fibonacci,Fibonacci,1537961,29
Godfrey H. Hardy,https://en.wikipedia.org/wiki/G._H._Hardy,G._H._Hardy,1266421,44
Brahmagupta,https://en.wikipedia.org/wiki/Brahmagupta,Brahmagupta,1038598,23
